,methodName,className,classLink,packageName,packageLink
4,getMediationAdapterClassName,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
5,isLoading,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
6,loadAd,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
7,pause,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
8,resume,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
9,setAdListener,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
10,setAdSize,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
11,setAdUnitId,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
0,getAdListener,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
1,getAdUnitId,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
2,getMediationAdapterClassName,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
3,isLoaded,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
4,isLoading,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
5,loadAd,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
6,setAdListener,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
7,setAdUnitId,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
8,setImmersiveMode,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
9,show,InterstitialAd,https://developers.google.com/android/reference/com/google/android/gms/ads/InterstitialAd.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
0,getInitializationStatus,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
1,getRequestConfiguration,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
2,getRewardedVideoAdInstance,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
3,getVersionString,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
4,initialize,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
5,initialize,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
6,initialize,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
7,initialize,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
8,openDebugMenu,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
9,setAppMuted,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
10,setAppVolume,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
11,setRequestConfiguration,MobileAds,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
0,getTrackingId,MobileAds.Settings,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.Settings.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
1,isGoogleAnalyticsEnabled,MobileAds.Settings,https://developers.google.com/android/reference/com/google/android/gms/ads/MobileAds.Settings.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
