,className,classLink,packageName,packageLink
1,CustomEventBanner,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventBanner.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
2,CustomEventBannerListener,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventBannerListener.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
3,CustomEventInterstitial,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventInterstitial.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
4,CustomEventInterstitialListener,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventInterstitialListener.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
5,CustomEventListener,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventListener.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
6,CustomEventNative,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventNative.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
7,CustomEventNativeListener,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventNativeListener.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
8,CustomEventExtras,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/CustomEventExtras.html,com.google.android.gms.ads.mediation.customevent,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/customevent/package-summary.html
0,SignalCallbacks,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/rtb/SignalCallbacks.html,com.google.android.gms.ads.mediation.rtb,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/rtb/package-summary.html
1,RtbAdapter,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/rtb/RtbAdapter.html,com.google.android.gms.ads.mediation.rtb,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/rtb/package-summary.html
2,RtbSignalData,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/rtb/RtbSignalData.html,com.google.android.gms.ads.mediation.rtb,https://developers.google.com/android/reference/com/google/android/gms/ads/mediation/rtb/package-summary.html
0,RewardedVideoAd,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/RewardedVideoAd.html,com.google.android.gms.ads.reward,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/package-summary.html
1,RewardedVideoAdListener,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/RewardedVideoAdListener.html,com.google.android.gms.ads.reward,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/package-summary.html
2,RewardItem,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/RewardItem.html,com.google.android.gms.ads.reward,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/package-summary.html
3,AdMetadataListener,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/AdMetadataListener.html,com.google.android.gms.ads.reward,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/package-summary.html
0,InitializableMediationRewardedVideoAdAdapter,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/mediation/InitializableMediationRewardedVideoAdAdapter.html,com.google.android.gms.ads.reward.mediation,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/mediation/package-summary.html
1,MediationRewardedVideoAdAdapter,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/mediation/MediationRewardedVideoAdAdapter.html,com.google.android.gms.ads.reward.mediation,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/mediation/package-summary.html
2,MediationRewardedVideoAdListener,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/mediation/MediationRewardedVideoAdListener.html,com.google.android.gms.ads.reward.mediation,https://developers.google.com/android/reference/com/google/android/gms/ads/reward/mediation/package-summary.html
0,OnAdMetadataChangedListener,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/OnAdMetadataChangedListener.html,com.google.android.gms.ads.rewarded,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/package-summary.html
1,RewardItem,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/RewardItem.html,com.google.android.gms.ads.rewarded,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/package-summary.html
2,RewardedAd,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/RewardedAd.html,com.google.android.gms.ads.rewarded,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/package-summary.html
3,RewardedAdCallback,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/RewardedAdCallback.html,com.google.android.gms.ads.rewarded,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/package-summary.html
4,RewardedAdLoadCallback,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/RewardedAdLoadCallback.html,com.google.android.gms.ads.rewarded,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/package-summary.html
5,ServerSideVerificationOptions,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/ServerSideVerificationOptions.html,com.google.android.gms.ads.rewarded,https://developers.google.com/android/reference/com/google/android/gms/ads/rewarded/package-summary.html
