,className,classLink,classPath,android_added_version,library,package
1946,IpSecTransform,https://developer.android.com/reference/android/net/IpSecTransform.html,android.net.IpSecTransform,28,platform,android.net
1947,IpSecTransform.Builder,https://developer.android.com/reference/android/net/IpSecTransform.Builder.html,android.net.IpSecTransform.Builder,28,platform,android.net
1948,IslamicCalendar,https://developer.android.com/reference/android/icu/util/IslamicCalendar.html,android.icu.util.IslamicCalendar,24,platform,android.icu.util
1949,IslamicCalendar.CalculationType,https://developer.android.com/reference/android/icu/util/IslamicCalendar.CalculationType.html,android.icu.util.IslamicCalendar.CalculationType,24,platform,android.icu.util
1950,IsoChronology,https://developer.android.com/reference/java/time/chrono/IsoChronology.html,java.time.chrono.IsoChronology,26,platform,java.time.chrono
1951,IsoDep,https://developer.android.com/reference/android/nfc/tech/IsoDep.html,android.nfc.tech.IsoDep,10,platform,android.nfc.tech
1952,IsoEra,https://developer.android.com/reference/java/time/chrono/IsoEra.html,java.time.chrono.IsoEra,26,platform,java.time.chrono
1953,IsoFields,https://developer.android.com/reference/java/time/temporal/IsoFields.html,java.time.temporal.IsoFields,26,platform,java.time.temporal
1954,IsolatedContext,https://developer.android.com/reference/android/test/IsolatedContext.html,android.test.IsolatedContext,1,platform,android.test
1955,Iterable,https://developer.android.com/reference/java/lang/Iterable.html,java.lang.Iterable,1,platform,java.lang
1956,Iterator,https://developer.android.com/reference/java/util/Iterator.html,java.util.Iterator,1,platform,java.util
1957,IvParameterSpec,https://developer.android.com/reference/javax/crypto/spec/IvParameterSpec.html,javax.crypto.spec.IvParameterSpec,1,platform,javax.crypto.spec
1958,JapaneseCalendar,https://developer.android.com/reference/android/icu/util/JapaneseCalendar.html,android.icu.util.JapaneseCalendar,24,platform,android.icu.util
1959,JapaneseChronology,https://developer.android.com/reference/java/time/chrono/JapaneseChronology.html,java.time.chrono.JapaneseChronology,26,platform,java.time.chrono
1960,JapaneseDate,https://developer.android.com/reference/java/time/chrono/JapaneseDate.html,java.time.chrono.JapaneseDate,26,platform,java.time.chrono
1961,JapaneseEra,https://developer.android.com/reference/java/time/chrono/JapaneseEra.html,java.time.chrono.JapaneseEra,26,platform,java.time.chrono
1962,JarEntry,https://developer.android.com/reference/java/util/jar/JarEntry.html,java.util.jar.JarEntry,1,platform,java.util.jar
1963,JarException,https://developer.android.com/reference/java/util/jar/JarException.html,java.util.jar.JarException,1,platform,java.util.jar
1964,JarFile,https://developer.android.com/reference/java/util/jar/JarFile.html,java.util.jar.JarFile,1,platform,java.util.jar
1965,JarInputStream,https://developer.android.com/reference/java/util/jar/JarInputStream.html,java.util.jar.JarInputStream,1,platform,java.util.jar
1966,JarOutputStream,https://developer.android.com/reference/java/util/jar/JarOutputStream.html,java.util.jar.JarOutputStream,1,platform,java.util.jar
1967,JarURLConnection,https://developer.android.com/reference/java/net/JarURLConnection.html,java.net.JarURLConnection,1,platform,java.net
1968,JavascriptInterface,https://developer.android.com/reference/android/webkit/JavascriptInterface.html,android.webkit.JavascriptInterface,17,platform,android.webkit
1969,JetPlayer,https://developer.android.com/reference/android/media/JetPlayer.html,android.media.JetPlayer,3,platform,android.media
1970,JetPlayer.OnJetEventListener,https://developer.android.com/reference/android/media/JetPlayer.OnJetEventListener.html,android.media.JetPlayer.OnJetEventListener,3,platform,android.media
1971,JobInfo,https://developer.android.com/reference/android/app/job/JobInfo.html,android.app.job.JobInfo,21,platform,android.app.job
1972,JobInfo.Builder,https://developer.android.com/reference/android/app/job/JobInfo.Builder.html,android.app.job.JobInfo.Builder,21,platform,android.app.job
1973,JobInfo.TriggerContentUri,https://developer.android.com/reference/android/app/job/JobInfo.TriggerContentUri.html,android.app.job.JobInfo.TriggerContentUri,24,platform,android.app.job
1974,JobParameters,https://developer.android.com/reference/android/app/job/JobParameters.html,android.app.job.JobParameters,21,platform,android.app.job
1975,JobScheduler,https://developer.android.com/reference/android/app/job/JobScheduler.html,android.app.job.JobScheduler,21,platform,android.app.job
1976,JobService,https://developer.android.com/reference/android/app/job/JobService.html,android.app.job.JobService,21,platform,android.app.job
1977,JobServiceEngine,https://developer.android.com/reference/android/app/job/JobServiceEngine.html,android.app.job.JobServiceEngine,26,platform,android.app.job
1978,JobWorkItem,https://developer.android.com/reference/android/app/job/JobWorkItem.html,android.app.job.JobWorkItem,26,platform,android.app.job
1979,JSONArray,https://developer.android.com/reference/org/json/JSONArray.html,org.json.JSONArray,1,platform,org.json
1980,JSONException,https://developer.android.com/reference/org/json/JSONException.html,org.json.JSONException,1,platform,org.json
1981,JSONObject,https://developer.android.com/reference/org/json/JSONObject.html,org.json.JSONObject,1,platform,org.json
1982,JsonReader,https://developer.android.com/reference/android/util/JsonReader.html,android.util.JsonReader,11,platform,android.util
1983,JSONStringer,https://developer.android.com/reference/org/json/JSONStringer.html,org.json.JSONStringer,1,platform,org.json
1984,JsonToken,https://developer.android.com/reference/android/util/JsonToken.html,android.util.JsonToken,11,platform,android.util
1985,JSONTokener,https://developer.android.com/reference/org/json/JSONTokener.html,org.json.JSONTokener,1,platform,org.json
1986,JsonWriter,https://developer.android.com/reference/android/util/JsonWriter.html,android.util.JsonWriter,11,platform,android.util
1987,JsPromptResult,https://developer.android.com/reference/android/webkit/JsPromptResult.html,android.webkit.JsPromptResult,1,platform,android.webkit
1988,JsResult,https://developer.android.com/reference/android/webkit/JsResult.html,android.webkit.JsResult,1,platform,android.webkit
1989,JulianFields,https://developer.android.com/reference/java/time/temporal/JulianFields.html,java.time.temporal.JulianFields,26,platform,java.time.temporal
1990,Key,https://developer.android.com/reference/java/security/Key.html,java.security.Key,1,platform,java.security
1991,KeyAgreement,https://developer.android.com/reference/javax/crypto/KeyAgreement.html,javax.crypto.KeyAgreement,1,platform,javax.crypto
1992,KeyAgreementSpi,https://developer.android.com/reference/javax/crypto/KeyAgreementSpi.html,javax.crypto.KeyAgreementSpi,1,platform,javax.crypto
1993,Keyboard,https://developer.android.com/reference/android/inputmethodservice/Keyboard.html,android.inputmethodservice.Keyboard,3,platform,android.inputmethodservice
